,review,sentiment
0,"I usually give sequels the benefit of the doubt and go easy on them. But thisis very poor. The exact same as what happened in the first film happens here again. The exact same. Only they wanted younger kids to be able see it (this accounts for the repeated presence of Bugs Bunny but why they threw in one 'f*ck' is beyond me).<br /><br />They didn't even bother to change Jackie Mason's character from Dangerfield's. Let me explain, in CADDYSHACK Rodney Dangerfield played a boorish Real Estate owner who enrages the uptight members of Bushwood country club. In this movie Jackie Mason plays a boorish Real Estate owner who enrages the uptight members of Bushwood country club. A big effort they made to change the content of the script huh? No, I don't think so. A very unfunny Dan Aykroyd shamefully copies Bill Murray's character. He even goes after the gopher (now more like a Gremlin) in much the same fashion as Murray did. <br /><br />There is not a laugh to be had. A sample of the 'comedy' in this film: Jackie Mason is getting ready for a hot date with Dyan Cannon. He is in the bathroom is his robe. He moves to the door to get dressed in his bedroom whenthe door handle breaks off. Wow!?! That's the best they can do. Eight years to think of a completely new sequel and that's all we get!?! I could have pulled a better script out of my ass.<br /><br />See it only if you're a die-hard fan of the original. It's the only way you'll find any kind of laughs in it. Everyone else steer clear.",negative
1,"This is the one movie that represents all that is bad in the movie business. The actors are pathetic and the script is awful. The special effects, if there are any, are so badly done that it would have been better to do it with cartoons instead. Besides that it's great! I think the creators of the movie meant it to have humor, but the only time i was laughing was when I saw Patrick S. with long hair and the colorful costumes that every one had. The scenes at the end were good but they were not a part of the movie. In the end you will ask yourself ""why did I waste my time and money with that crap when I could have watched the plants growing or the clouds moving"". I don't think that I am some critic or anything but this is a truly lame movie! DO NOT WATCH! DANGER OF STUPIDITY OVERLOAD!",negative
2,"A mean spirited, repulsive horror film about 3 murderous children. Susan Strasberg is totally wasted in a 5-minute cameo, even though she receives star billing. If your a Julie Brown fan, you'll want to check it out, since she's naked in a couple of shots. All others,avoid.",negative
3,"It`s funny how instinct warns you of something . For example as soon as the company credits read Nu Image I knew instinctively I`d seen a really crap film by them somewhere before but couldn`t remember where . Nevertheless I just knew JUDGE AND JURY was going to be crap and it was . Maybe I`m psychic ?<br /><br />!!!! MILD SPOILERS !!!!<br /><br />The opening is rather violent with several people getting blown away for no more reason than being in the wrong place at the wrong time . I don`t know about you but I`m geting slightly fed up with exploitive violence onscreen nowadays along with bad language , especially if it`s spouted by actors as bad as the ones in this movie . Anyway the plot revolves around the bad dude getting executed and coming back to reek revenge on the man who shot his wife . Oh did I mention the bad dude and his wife murdered a couple of people on their wedding night ? Yeah he`s a serious badass mofo . In fact he`s so bad ( And I don`t mean the acting - I`ll get to that in a moment ) that he`s impossible to take seriously and this is before he`s executed only to return as Elton John , Elvis , a French chef etc . I wonder if Keith David got paid for this ? because he looks lke he`s having so much fun on screen that`s the only reason he`s playing the role . What a pity this reviewer didn`t have any fun whatsoever watching JUDGE AND JURY . Hey maybe the producers could send me Keith`s fee ? Gawd only knows I deserve it.<br /><br />I disliked this movie a lot as if you hadn`t guessed and my main beef isn`t with the stupid plot or the cheap production values but with its attitude to violence . If like me you`ve had a wine bottle cracked over your head or been kicked in the ribs very hard several times you`ll know violence is an obscene painful thing , but JUDGE AND JURY will have you believe that if you`re thrown through a window , crash through some bannisters and fall twenty odd feet onto a table not only will you be unhurt but you`ll be able to outrun a couple of rabid devil dogs . It could of course be argued that any film starring Sly , Arnie or Bruce also suffers from this same dishonest showing of violence but with JUDGE AND JURY it yanked my chain",negative
4,"This movie came and went in the theaters. Due to the nature of it you can see why it wasn't well received. It was unfairly panned because of its subject matter more than the actual film itself. Higher Learning is not spectacular but it was good film that tried to talk about a feared subject in America: racism.<br /><br />Plot/Story: Higher Learning is mostly centered around Malik(played by Omar Epps), a naive track star who is has to deal with not being fast enough, and a stern professor(played by Laurence Fishburne). He befriends Fudge(Ice Cube) as well as a gorgeous lady named Deja(Tyra Banks). Later on they end up having to deal with some skinheads on campus. Remy(play by Michael Rapaport) is confused kid who ends up befriending some local skinheads on campus. Once they impose their views on him, he becomes as racist as they are.<br /><br />Opinion: Higher Learning is not without its flaws: Character development is scarce, okay performances by Omar Epps, Tyra Banks and the leader of the skinheads(whose name I forgot), Busta Rhymes doesn't fit in this movie at all. Plus women turning gay after being abused by men was cliché' before this film so you know I didn't like that part of the film with Kristy Swanson. Other than that, this movie wasn't half bad. Laurence Fishburne was good as Professor Phipps(even though I could do without the accent), Fudge was Ice Cube's best performance and Michael Rapaport was good as the confused Remy. All in all it was one of John Singleton's best movies and is one is one of the reasons I frown on the rubbish he puts out now. Cinema needs more movies like Higher Learning, Mississippi Burning and American History X and less movies like Baby Boy, 2 Fast 2 Furious and a very pointless remake of Shaft.",positive
5,"Upon viewing Tobe Hooper's gem, Crocodile, in 2000, I developed a great interest in the college/crocodile niche of the exploitation/monster genre. I look forward to a wayward producer to follow up with several sequels to these delightful bonbons of camp goodness. If only Ed Wood could bring his subtle sense of flair and dignity to these remarkable scripts. With Ed writing the scripts, and a room full of monkees creating crocodile special effects on a computer, all we'd need would be a cast of crocky fodder with Russ Meyer breasts and Ren Hoek pectoral implants.<br /><br />While Tobe Hooper's crocky opus referenced his own movies, Blood Surf chose to dish out a bunch of aging themes from the chum bucket of other movies. See if you can look past the Revenge of the Nerds sequel sets to find the allusions/homages?/rip-offs to Jaws, Temple of Doom, Indiana Jones' Last Crusade, The Convent, Godzilla 2000, and any James Bond movie. Also, try to find the ready-for-tv fade where the editor gave up on making sense of the stock.<br /><br />I was disappointed the crock didn't get to try out its sotto voce tenor with a soliloquy on environmentalism...or crocky appreciation, but the quasi-Captain Ahab of the story does get his tour de force speach. Perhaps, in the coming years, we'll see a crock galloping off after a shootout into a golden sunset. Or hopefully, a monkey will flush a crocky down the toilet of an international space station for midgets and enjoy the exploitative waltz of zero-G monkey/midget/crocodile bloodshed.<br /><br />All-in-all, the lack of a whammy bar in the surf music irked me.",negative
6,"This is a very beautiful and almost meditative film-there is hardly any dialogue in it, apart from the narration; and the scenery and music compliment each other perfectly. I didn't at first connect the red hair of the girl and the fox until it was pointed out to me by a friend (who also has red hair!) It is almost an old fashioned type of children's films, saying that children nowadays prefer animations like Shrek or Toy Story etc-but I feel that young people should be introduced more to the beauty and wonder of nature which this film certainly does. Maybe not the best ever film of its type but certainly an excellent and relaxing view for all ages -not just children.",positive
7,My ten-year old liked it. For me it was hard to get through it. Christopher Lloyd played it way over the top and the suit was tedious and unfunny. Sorry to see Jeff Daniels in this.,negative
8,"It's quite revealing to see this today and appreciate how far we've come along in what we expect from movies, and at the same time appreciate how many bedrock notions were established.<br /><br />Here we have a full-fledged narrative talking film - the audio and the visuals are pushed to their period limits. The framing is limited to about belt-high and up -- no face close-ups. <br /><br />The compositions are remarkable; there's an early over-the-shoulder cross cutting scene to showcase the dialogue; there's a treacherous descent into a canyon with some harrowing perspective angles; a sun-bleached skeleton lies in the dust as the wheels and legs march in the upper portion of the frame; the tension in the showdown between the hero and the bad guy is visually captured by filming above the long axis of a large tree that lies between them; and on and on - early visual treats abound.<br /><br />Today, it's unsettling to see the young Wayne carry a film, unencumbered by ego or mannerisms.<br /><br />I have to wonder if Walsh recognized the self-reference: the subject is the journey of a disparate group of pilgrims; those who appear on screen are a disparate group of stage actors, vaudeville comedians, shell game artists, and, probably, carny barkers and ten-in-one show veterans. They all journey together to blaze a trail for how movies would be made.<br /><br />This is worth at least one viewing to appreciate the source of so many visual ideas borrowed in later movies.",positive
9,"It's always interesting to catch a line in a film that winds up being somewhat prophetic for the future of an actor. In this case, I was intrigued by Edward G. Robinson's statement to Barbara Stanwyck - ""I promised you the Valley"", as he discusses the lone hold outs to his attempt to control all the land in Logasa. Ten years later, Stanwyck would star as the matriarch of the Barkley Family on ""The Big Valley"". Somehow I thought she might have looked older in the earlier picture; I guess all those bright gowns and fancy riding outfits have a way of bringing out one's youthful side.<br /><br />As for my summary line above, that's Lee Wilkison's appraisal of John Parrish (Glenn Ford), one of those hold outs mentioned earlier, shortly after Parrish uses his knowledge of military tactics to take out a number of Wilkison hands after they raid his ranch and torch his home. I liked the way the film explored his character, starting with the way he dealt with foreman Wade Matlock (Richard Jaeckel) in a calculated showdown. The set up for the ambush was also a clever maneuver, diametrically opposed to the strategy of rushing the bad guys head on with both sides fighting it out to the last man standing. For that, Parrish also had something to say - ""Never meet the enemy on his terms"".<br /><br />""The Violent Men"" is a good title for this film, and was probably at the head of it's class in the mid 1950's, though by today's standards doesn't come close to the blood letting one will find in a ""Tombstone"" or ""Open Range"", where the bullets exact a nasty savagery. But it's shaped by fine performances from the principals, with a sub plot exploring infidelity that seemed almost ironic considering it was Stanwyck's character who was cheating.",positive
10,"This show is without a doubt one of the greatest shows ever to be on television. I mean the acting is great, the suspense, the drama, the comedy, it has everything, and with such a simple story: A plane crashed on an island. The characters are great and Evangeline Lilly is HOT!!!!!! Matthew Fox once again shows us what a great actor he is, Josh Holloway is so great, Jorge Garcia is Hilarious, I could go on and on. Also, the unexpected plot twists, the back stories of the characters, the music that is at the end of every episode. J.J. Abrahms has once again proved what an excellent writer and producer he is. I mean this is better than ALIAS, and I loved ALIAS. Whoever isn't watching this show, should definitely consider getting the DVD's and watching it, because they are missing something great. This show could possibly be the best show in television history!!",positive
11,"Originally harped as a sequel to ""The Slumber Party Massacre"" series, this film falls flat on it's face with a new title. First off, if you are going to include the word ""massacre"" in your film's title, you better deliver. This one certainly does not. There is no gore, no on screen murders and no chainsaw, as the box art would lead you to believe. Instead, we get a paper thin, overdone plot about a group of cheerleaders who get stranded in an abandoned cabin on the way to a football game, only to be offed one by one. Again, this film could have been OK if the gore quotient was upped a bit. Why directors, especially those doing direct-to-video flicks, are afraid to show ANY gore is beyond me. Now, I am not a huge fan of excessive gore, but come on...why else would anyone rent a movie called ""Cheerleader Massacre??"" Besides that problem, the film suffers from a shot-on-a-home-video-camera cheapness. It looks cheap, sounds cheap, and the actors aren't all that good. It tries to throw us off track to who the killer may be, but even that fails. The ending ends up being a ridiculous mess. Folks, if you run across this film, walk away and go find the original ""Slumber Party Massacre."" 2 out of 10.",negative
12,"Wow, its been quite a while since I've watched anything so mysterious in the way it is portrayed.<br /><br />A Detective Story uses old fashioned black and white images to portray a private investigator who dresses in an old fashioned trench coat and hat. The theme of this animation is reminiscent of that of Sam Spayed which was briefly mentioned by Ash.<br /><br />Sick of spying on cheating house wives because of his clients, Ash was offered a chance to track down a ""computer hacker"" which he thought was a worthwhile chance for a four figure sum he could not turn down and the rest is history.<br /><br />The ending was a little bit bland but still okay. For those out there who like old fashion stories this is the one for you.",positive
13,"The End Of Suburbia (TEOS) is a very useful film. It's also important and provocative. There seems to be no middle ground with either the film or its main source of entertainment, the anti-sprawl Meister, James Howard Kunstler. <br /><br />While I am not a big fan of the New Urbanism, my criticism of it is because of its small vision. In the case of New Urbanist Peter Calthorpe - another talking head - you finally hear what's somewhat obvious in and amongst the special added TEOS out-takes... Calthorpe just doesn't understand peak oil. <br /><br />I've used this as a teaching tool in economics classes to get at the importance of land as a factor of production - a fact long diminished by Neoclassical Economics - and also as a vehicle for educating about: peak oil, our wastrel land use, global warming, our threatened food production, public transit our compromised future<br /><br />Move over South Park! .... Made by Canadians from Toronto for $25,000 and released in May 2004, this video sold over 24,000 copies by October 2005. One major DVD rental vendor recently ordered almost 400 more copies.<br /><br />The End Of Suburbia sales were actually climbing 1 1/2 years after its release and it has also been available on one of the major online video services since September 2005.<br /><br />A sequel, Escape From Suburbia, is in the works with a possible release by August 2006.",positive
